SITECODE,SDATE,TRANSECT,BATLOC_ID,FIELDNAME,VALUE
T01,21-Jul-94,T2,12,HAB2,36
T01,21-Jul-94,T2,13,HAB1,1
T01,21-Jul-94,T2,13,HAB2,36
T01,21-Jul-94,T2,14,HAB1,1
T01,21-Jul-94,T2,14,HAB2,36
T01,21-Jul-94,T2,15,HAB1,9
T01,21-Jul-94,T2,15,HAB2,37
T01,15-Aug-94,T1,1,HAB1,7
T01,15-Aug-94,T1,2,HAB1,7
T01,15-Aug-94,T1,3,HAB1,7
T01,15-Aug-94,T1,4,HAB1,37
T01,15-Aug-94,T1,5,HAB1,1
T01,15-Aug-94,T1,6,HAB1,1
T01,15-Aug-94,T1,7,HAB1,1
T01,15-Aug-94,T2,8,HAB1,9
T01,15-Aug-94,T2,9,HAB1,7
T01,29-Aug-94,T1,1,HAB1,7
T01,29-Aug-94,T1,2,HAB1,7
T01,29-Aug-94,T1,3,HAB1,9
T01,29-Aug-94,T1,4,HAB1,6
T01,29-Aug-94,T1,5,HAB1,6
T01,29-Aug-94,T1,6,HAB1,1
T01,29-Aug-94,T1,7,HAB1,1
T01,29-Aug-94,T1,8,HAB1,1
T01,18-Jun-95,T1,1,HAB1,1
T01,18-Jun-95,T1,1,HAB2,36
T01,18-Jun-95,T1,2,HAB1,1
T01,18-Jun-95,T1,2,HAB2,37
T01,18-Jun-95,T1,3,HAB1,1
T01,18-Jun-95,T1,3,HAB2,37
T01,18-Jun-95,T2,4,HAB1,7
T01,18-Jun-95,T2,4,HAB2,9
T01,18-Jun-95,T2,4,HAB3,36
T01,18-Jun-95,T2,5,HAB1,1
T01,18-Jun-95,T2,5,HAB2,37
T01,27-Jul-95,T1,1,HAB1,1
T01,27-Jul-95,T1,1,HAB2,36
T01,27-Jul-95,T1,2,HAB1,9
T01,27-Jul-95,T1,2,HAB2,37
T01,27-Jul-95,T1,3,HAB1,6
T01,27-Jul-95,T1,3,HAB2,37
T01,27-Jul-95,T1,4,HAB1,1
T01,27-Jul-95,T1,4,HAB2,37
T01,27-Jul-95,T1,5,HAB1,1
T01,27-Jul-95,T1,5,HAB2,19
T01,27-Jul-95,T1,5,HAB3,37
T01,27-Jul-95,T1,6,HAB1,6
T01,27-Jul-95,T1,6,HAB2,19
T01,27-Jul-95,T1,6,HAB3,37
T01,27-Jul-95,T2,7,HAB1,1
T01,27-Jul-95,T2,7,HAB2,37
T01,27-Jul-95,T2,7,HAB3,36
T01,13-Aug-95,T1,1,HAB1,7
T01,13-Aug-95,T1,1,HAB2,36
T01,13-Aug-95,T2,2,HAB1,7
T01,13-Aug-95,T2,2,HAB2,36
T01,13-Aug-95,T2,3,HAB1,7
T01,13-Aug-95,T2,3,HAB2,9
T01,13-Aug-95,T2,3,HAB3,36
T01,21-Jun-96,T1,1,HAB1,7
T01,21-Jun-96,T1,1,HAB2,9
T01,21-Jun-96,T1,1,HAB3,37
T01,21-Jun-96,T1,2,HAB1,6
T01,21-Jun-96,T1,2,HAB2,37
T01,21-Jun-96,T1,3,HAB1,1
T01,21-Jun-96,T1,3,HAB2,39
T01,21-Jun-96,T1,3,HAB3,19
T01,21-Jun-96,T1,4,HAB1,6
T01,21-Jun-96,T1,4,HAB2,37
T01,21-Jun-96,T1,4,HAB3,19
T01,27-Jul-96,T1,1,HAB1,7
T01,27-Jul-96,T1,1,HAB2,9
T01,27-Jul-96,T1,1,HAB3,37
T01,27-Jul-96,T2,2,HAB1,1
T01,27-Jul-96,T2,2,HAB2,37
T01,27-Jul-96,T2,3,HAB1,1
T01,27-Jul-96,T2,3,HAB2,36
T01,27-Jul-96,T2,4,HAB1,1
T01,27-Jul-96,T2,4,HAB2,36
T01,27-Jul-96,T2,5,HAB1,7
T01,27-Jul-96,T2,5,HAB2,36
T01,16-Aug-96,T1,1,HAB1,7
T01,16-Aug-96,T1,1,HAB2,37
T01,16-Aug-96,T1,2,HAB1,1
T01,16-Aug-96,T1,2,HAB2,37
T01,16-Aug-96,T1,3,HAB1,1
T01,16-Aug-96,T1,3,HAB2,37
T01,16-Aug-96,T2,4,HAB1,7
T01,16-Aug-96,T2,4,HAB2,37
T01,31-Aug-96,T1,1,HAB1,6
T01,31-Aug-96,T1,1,HAB2,37
T01,31-Aug-96,T1,2,HAB1,1
T01,31-Aug-96,T1,2,HAB2,37
T01,31-Aug-96,T1,3,HAB1,6
T01,31-Aug-96,T1,3,HAB2,37
T01,31-Aug-96,T2,4,HAB1,7
T01,31-Aug-96,T2,4,HAB2,37
T01,31-Aug-96,T2,4,HAB3,36
T01,31-Aug-96,T2,5,HAB1,1
T01,31-Aug-96,T2,5,HAB2,36
T01,31-Aug-96,T2,5,HAB3,37
T01,02-Sep-96,T1,1,HAB1,7
T01,02-Sep-96,T1,1,HAB2,9
T01,02-Sep-96,T1,1,HAB3,37
T01,02-Sep-96,T1,2,HAB1,1
T01,02-Sep-96,T1,2,HAB2,6
T01,02-Sep-96,T1,2,HAB3,19
T01,02-Sep-96,T2,3,HAB1,7
T01,02-Sep-96,T2,3,HAB2,9
T01,02-Sep-96,T2,3,HAB3,37
T01,05-Jul-97,T1,1,HAB1,7
T01,05-Jul-97,T1,2,HAB1,36
T01,05-Jul-97,T1,3,HAB1,1
T01,05-Jul-97,T1,3,HAB2,37
T01,05-Jul-97,T1,4,HAB1,1
T01,05-Jul-97,T1,4,HAB2,37
T01,05-Jul-97,T1,5,HAB1,1
T01,05-Jul-97,T1,5,HAB2,37
T01,05-Jul-97,T1,5,HAB3,19
T01,05-Jul-97,T1,6,HAB1,1
T01,05-Jul-97,T1,6,HAB2,37
T01,05-Jul-97,T1,6,HAB3,19
T01,05-Jul-97,T2,7,HAB1,1
T01,05-Jul-97,T2,8,HAB1,7
T01,05-Jul-97,T2,8,HAB2,1
T01,05-Jul-97,T2,9,HAB1,7
T01,05-Jul-97,T2,9,HAB2,36
T01,19-Jul-97,T1,1,HAB1,1
T01,19-Jul-97,T1,1,HAB2,37
T01,19-Jul-97,T1,2,HAB1,1
T01,19-Jul-97,T1,2,HAB2,37
T01,07-Aug-97,T1,3,HAB1,7
T01,07-Aug-97,T1,4,HAB1,7
T01,07-Aug-97,T1,4,HAB2,37
T01,07-Aug-97,T1,5,HAB1,1
T01,07-Aug-97,T1,5,HAB2,37
T01,07-Aug-97,T1,6,HAB1,1
T01,07-Aug-97,T1,6,HAB2,37
T01,07-Aug-97,T1,7,HAB1,1
T01,07-Aug-97,T1,7,HAB2,37
T01,07-Aug-97,T1,8,HAB1,1
T01,07-Aug-97,T1,8,HAB2,37
T01,07-Aug-97,T1,8,HAB3,19
T01,07-Aug-97,T1,9,HAB1,1
T01,07-Aug-97,T1,9,HAB2,6
T01,07-Aug-97,T1,9,HAB3,37
T01,07-Aug-97,T2,1,HAB1,7
T01,07-Aug-97,T2,1,HAB2,1
T01,07-Aug-97,T2,1,HAB3,37
T01,07-Aug-97,T2,2,HAB1,7
T01,07-Aug-97,T2,2,HAB2,1
T01,07-Aug-97,T2,2,HAB3,37
T01,06-Jul-98,T1,1,HAB1,42
T01,06-Jul-98,T1,1,HAB2,36
T01,06-Jul-98,T1,1,HAB3,2
T01,06-Jul-98,T2,2,HAB1,36
T01,06-Jul-98,T2,2,HAB2,37
T01,06-Jul-98,T2,2,HAB3,1
T01,25-Jul-98,T1,1,HAB1,36
T01,25-Jul-98,T1,1,HAB2,9
T01,25-Jul-98,T1,1,HAB3,2
T01,25-Jul-98,T1,2,HAB1,37
T01,25-Jul-98,T1,2,HAB2,9
T01,25-Jul-98,T1,2,HAB3,2
T01,25-Jul-98,T1,3,HAB1,37
T01,25-Jul-98,T1,3,HAB2,9
T01,25-Jul-98,T1,3,HAB3,1
T01,25-Jul-98,T1,4,HAB1,37
T01,25-Jul-98,T1,4,HAB2,1
T01,25-Jul-98,T1,5,HAB1,37
T01,25-Jul-98,T1,5,HAB2,1
T01,25-Jul-98,T1,6,HAB1,37
T01,25-Jul-98,T1,6,HAB2,1
T01,25-Jul-98,T1,7,HAB1,37
T01,25-Jul-98,T1,7,HAB2,19
T01,25-Jul-98,T1,7,HAB3,1
T01,25-Jul-98,T1,8,HAB1,37
T01,25-Jul-98,T1,8,HAB2,19
T01,25-Jul-98,T1,8,HAB3,1
T01,25-Jul-98,T1,9,HAB1,37
T01,25-Jul-98,T1,9,HAB2,19
T01,25-Jul-98,T1,9,HAB3,1
T01,25-Jul-98,T1,10,HAB1,37
T01,25-Jul-98,T1,10,HAB2,19
T01,25-Jul-98,T1,10,HAB3,1
T01,25-Jul-98,T2,11,HAB1,36
T01,25-Jul-98,T2,11,HAB2,37
T01,25-Jul-98,T2,11,HAB3,1
T01,17-Aug-98,T1,1,HAB1,42
T01,17-Aug-98,T1,1,HAB2,36
T01,17-Aug-98,T1,1,HAB3,2
T01,17-Aug-98,T1,2,HAB1,36
T01,17-Aug-98,T1,2,HAB2,37
T01,17-Aug-98,T1,2,HAB3,2
T01,17-Aug-98,T1,3,HAB1,37
T01,17-Aug-98,T1,3,HAB2,1
T01,17-Aug-98,T1,4,HAB1,37
T01,17-Aug-98,T1,4,HAB2,19
T01,17-Aug-98,T1,4,HAB3,1
T01,17-Aug-98,T1,5,HAB1,37
T01,17-Aug-98,T1,5,HAB2,19
T01,17-Aug-98,T1,5,HAB3,1
T01,17-Aug-98,T2,6,HAB1,36
T01,17-Aug-98,T2,6,HAB2,37
T01,17-Aug-98,T2,6,HAB3,9
T01,17-Aug-98,T2,7,HAB1,36
T01,17-Aug-98,T2,7,HAB2,37
T01,17-Aug-98,T2,7,HAB3,1
T01,03-Sep-98,T1,1,HAB1,37
T01,03-Sep-98,T1,1,HAB2,19
T01,03-Sep-98,T1,1,HAB3,1
T01,03-Sep-98,T2,2,HAB1,37
T01,03-Sep-98,T2,2,HAB2,36
T01,03-Sep-98,T2,2,HAB3,9
T01,03-Sep-98,T2,3,HAB1,36
T01,03-Sep-98,T2,3,HAB2,37
T01,03-Sep-98,T2,3,HAB3,1
T01,17-Jun-99,T1,1,HAB1,37
T01,17-Jun-99,T1,1,HAB2,19
T01,17-Jun-99,T1,1,HAB3,1
T01,07-Jul-99,T1,1,HAB1,36
T01,07-Jul-99,T1,1,HAB2,2
T01,07-Jul-99,T1,1,HAB3,42
T01,07-Jul-99,T2,2,HAB1,37
T01,07-Jul-99,T2,2,HAB2,1
T01,28-Jul-99,T2,1,HAB1,36
T01,28-Jul-99,T2,1,HAB2,37
T01,28-Jul-99,T2,1,HAB3,9
T01,28-Jul-99,T2,2,HAB1,36
T01,28-Jul-99,T2,2,HAB2,37
T01,28-Jul-99,T2,2,HAB3,1
T01,19-Jul-00,T1,1,HAB1,36
T01,19-Jul-00,T1,1,HAB2,2
T01,19-Jul-00,T1,1,HAB3,42
T01,19-Jul-00,T1,2,HAB1,36
T01,19-Jul-00,T1,2,HAB2,2
T01,19-Jul-00,T1,2,HAB3,42
T01,19-Jul-00,T1,3,HAB1,37
T01,19-Jul-00,T1,3,HAB2,1
T01,19-Jul-00,T1,4,HAB1,37
T01,19-Jul-00,T1,4,HAB2,1
T01,19-Jul-00,T1,5,HAB1,37
T01,19-Jul-00,T1,5,HAB2,19
T01,19-Jul-00,T1,5,HAB3,1
T01,19-Jul-00,T1,6,HAB1,37
T01,19-Jul-00,T1,6,HAB2,19
T01,19-Jul-00,T1,6,HAB3,1
T01,19-Jul-00,T1,7,HAB1,37
T01,19-Jul-00,T1,7,HAB2,19
T01,19-Jul-00,T1,7,HAB3,1
T01,19-Jul-00,T2,8,HAB1,36
T01,19-Jul-00,T2,8,HAB2,37
T01,19-Jul-00,T2,8,HAB3,1
T01,26-Jul-00,T1,1,HAB1,36
T01,26-Jul-00,T1,1,HAB2,2
T01,26-Jul-00,T1,1,HAB3,9
T01,26-Jul-00,T2,2,HAB1,36
T01,26-Jul-00,T2,2,HAB2,37
T01,26-Jul-00,T2,2,HAB3,9
T01,26-Jul-00,T2,3,HAB1,36
T01,26-Jul-00,T2,3,HAB2,37
T01,26-Jul-00,T2,3,HAB3,1
T01,26-Jul-00,T2,4,HAB1,36
T01,26-Jul-00,T2,4,HAB2,37
T01,26-Jul-00,T2,4,HAB3,1
T01,23-Aug-00,T1,1,HAB1,36
T01,23-Aug-00,T1,1,HAB2,2
T01,23-Aug-00,T1,1,HAB3,42
T01,23-Aug-00,T1,2,HAB1,37
T01,23-Aug-00,T1,2,HAB2,1
T01,23-Aug-00,T1,3,HAB1,37
T01,23-Aug-00,T1,3,HAB2,19
T01,23-Aug-00,T1,3,HAB3,1
T01,23-Aug-00,T1,4,HAB1,37
T01,23-Aug-00,T1,4,HAB2,19
T01,23-Aug-00,T1,4,HAB3,1
T01,23-Aug-00,T1,5,HAB1,37
T01,23-Aug-00,T1,5,HAB2,19
T01,23-Aug-00,T1,5,HAB3,1
T01,18-Jun-01,T2,1,HAB1,36
T01,18-Jun-01,T2,1,HAB2,37
T01,18-Jun-01,T2,1,HAB3,1
T01,18-Jun-01,T2,2,HAB1,36
T01,18-Jun-01,T2,2,HAB2,37
T01,18-Jun-01,T2,2,HAB3,42
T01,17-Jul-01,T1,1,HAB1,37
T01,17-Jul-01,T1,1,HAB2,19
T01,17-Jul-01,T1,1,HAB3,1
T01,17-Jul-01,T1,2,HAB1,37
T01,17-Jul-01,T1,2,HAB2,19
T01,17-Jul-01,T1,2,HAB3,1
T01,17-Jul-01,T2,3,HAB1,36
T01,17-Jul-01,T2,3,HAB2,37
T01,17-Jul-01,T2,3,HAB3,1
T01,17-Jul-01,T2,4,HAB1,36
T01,17-Jul-01,T2,4,HAB2,37
T01,17-Jul-01,T2,4,HAB3,42
T01,30-Jul-01,T1,1,HAB1,36
T01,30-Jul-01,T1,1,HAB2,37
T01,30-Jul-01,T1,1,HAB3,9
T01,30-Jul-01,T1,2,HAB1,37
T01,30-Jul-01,T1,2,HAB2,19
T01,30-Jul-01,T1,2,HAB3,1
T01,30-Jul-01,T1,3,HAB1,37
T01,30-Jul-01,T1,3,HAB2,19
T01,30-Jul-01,T1,3,HAB3,1
T01,30-Jul-01,T1,4,HAB1,37
T01,30-Jul-01,T1,4,HAB2,19
T01,30-Jul-01,T1,4,HAB3,1
T01,20-Aug-01,T1,1,HAB1,37
T01,20-Aug-01,T1,1,HAB2,19
T01,20-Aug-01,T1,1,HAB3,1
T01,20-Aug-01,T1,2,HAB1,37
T01,20-Aug-01,T1,2,HAB2,19
T01,20-Aug-01,T1,2,HAB3,1
T01,20-Aug-01,T2,3,HAB1,36
T01,20-Aug-01,T2,3,HAB2,37
T01,20-Aug-01,T2,3,HAB3,1
T01,20-Aug-01,T2,4,HAB1,36
T01,20-Aug-01,T2,4,HAB2,37
T01,20-Aug-01,T2,4,HAB3,42
T01,20-Aug-01,T2,5,HAB1,36
T01,20-Aug-01,T2,5,HAB2,37
T01,20-Aug-01,T2,5,HAB3,42
T02,07-Jul-94,T2,1,HAB1,7
T02,07-Jul-94,T2,1,HAB2,42
T02,07-Jul-94,T2,1,HAB3,37
T02,07-Jul-94,T2,2,HAB1,7
T02,07-Jul-94,T2,2,HAB2,42
T02,07-Jul-94,T2,2,HAB3,37
T02,07-Jul-94,T2,3,HAB1,6
T02,07-Jul-94,T2,3,HAB2,16
T02,07-Jul-94,T2,3,HAB3,8
T02,07-Jul-94,T2,4,HAB1,35
T02,07-Jul-94,T2,4,HAB2,9
T02,07-Jul-94,T2,4,HAB3,23
T02,07-Jul-94,T2,5,HAB1,35
T02,07-Jul-94,T2,5,HAB2,9
T02,07-Jul-94,T2,5,HAB3,23
T02,07-Jul-94,T3,6,HAB1,7
T02,07-Jul-94,T3,6,HAB2,17
T02,07-Jul-94,T3,6,HAB3,37
T02,07-Jul-94,T3,7,HAB1,7
T02,07-Jul-94,T3,7,HAB2,17
T02,07-Jul-94,T3,7,HAB3,37
T02,07-Jul-94,T3,8,HAB1,7
T02,07-Jul-94,T3,8,HAB2,17
T02,07-Jul-94,T3,8,HAB3,37
T02,07-Jul-94,T3,9,HAB1,7
T02,07-Jul-94,T3,9,HAB2,31
T02,07-Jul-94,T3,9,HAB3,23
T02,07-Jul-94,T3,10,HAB1,7
T02,07-Jul-94,T3,10,HAB2,31
T02,07-Jul-94,T3,10,HAB3,23
T02,07-Jul-94,T3,11,HAB1,7
T02,07-Jul-94,T3,11,HAB2,31
T02,07-Jul-94,T3,11,HAB3,23
T02,07-Jul-94,T3,12,HAB1,7
T02,07-Jul-94,T3,12,HAB2,31
T02,07-Jul-94,T3,12,HAB3,23
T02,07-Jul-94,T3,13,HAB1,7
T02,07-Jul-94,T3,13,HAB2,13
T02,07-Jul-94,T3,13,HAB3,23
T02,07-Jul-94,T3,14,HAB1,7
T02,07-Jul-94,T3,14,HAB2,13
T02,07-Jul-94,T3,14,HAB3,23
T02,21-Jul-94,T2,1,HAB1,7
T02,21-Jul-94,T2,1,HAB2,42
T02,21-Jul-94,T2,1,HAB3,37
T02,21-Jul-94,T2,2,HAB1,7
T02,21-Jul-94,T2,2,HAB2,42
T02,21-Jul-94,T2,2,HAB3,37
T02,21-Jul-94,T2,3,HAB1,6
T02,21-Jul-94,T2,3,HAB2,16
T02,21-Jul-94,T2,3,HAB3,8
T02,21-Jul-94,T2,4,HAB1,6
T02,21-Jul-94,T2,4,HAB2,9
T02,21-Jul-94,T2,4,HAB3,35
T02,21-Jul-94,T2,5,HAB1,6
T02,21-Jul-94,T2,5,HAB2,16
T02,21-Jul-94,T2,5,HAB3,19
T02,21-Jul-94,T2,6,HAB1,6
T02,21-Jul-94,T2,6,HAB2,23
T02,21-Jul-94,T2,6,HAB3,9
T02,21-Jul-94,T2,7,HAB1,6
T02,21-Jul-94,T2,7,HAB2,16
T02,21-Jul-94,T2,7,HAB3,23
T02,21-Jul-94,T2,8,HAB1,6
T02,21-Jul-94,T2,8,HAB2,23
T02,21-Jul-94,T2,8,HAB3,35
T02,21-Jul-94,T2,9,HAB1,35
T02,21-Jul-94,T2,9,HAB2,9
T02,21-Jul-94,T2,10,HAB1,35
T02,21-Jul-94,T2,10,HAB2,9
T02,21-Jul-94,T2,11,HAB1,35
T02,21-Jul-94,T2,11,HAB2,9
T02,21-Jul-94,T2,12,HAB1,35
T02,21-Jul-94,T2,12,HAB2,9
T02,21-Jul-94,T3,13,HAB1,7
T02,21-Jul-94,T3,13,HAB2,17
T02,21-Jul-94,T3,13,HAB3,37
T02,21-Jul-94,T3,14,HAB1,7
T02,21-Jul-94,T3,14,HAB2,15
T02,21-Jul-94,T3,14,HAB3,37
T02,21-Jul-94,T3,15,HAB1,7
T02,21-Jul-94,T3,15,HAB2,15
T02,21-Jul-94,T3,15,HAB3,35
T02,21-Jul-94,T3,16,HAB1,7
T02,21-Jul-94,T3,16,HAB2,31
T02,21-Jul-94,T3,16,HAB3,23
T02,21-Jul-94,T3,17,HAB1,7
T02,21-Jul-94,T3,17,HAB2,31
T02,21-Jul-94,T3,17,HAB3,23
T02,21-Jul-94,T3,18,HAB1,7
T02,21-Jul-94,T3,18,HAB2,31
T02,21-Jul-94,T3,18,HAB3,23
T02,21-Jul-94,T3,19,HAB1,7
T02,21-Jul-94,T3,19,HAB2,31
T02,21-Jul-94,T3,19,HAB3,23
T02,21-Jul-94,T3,20,HAB1,7
T02,21-Jul-94,T3,20,HAB2,31
T02,21-Jul-94,T3,20,HAB3,23
T02,21-Jul-94,T3,21,HAB1,7
T02,21-Jul-94,T3,21,HAB2,13
T02,21-Jul-94,T3,21,HAB3,23
T02,11-Aug-94,T1,1,HAB1,42
T02,11-Aug-94,T1,1,HAB2,36
T02,11-Aug-94,T1,1,HAB3,37
T02,11-Aug-94,T1,2,HAB1,7
T02,11-Aug-94,T1,2,HAB2,37
T02,11-Aug-94,T1,3,HAB1,7
T02,11-Aug-94,T1,3,HAB2,42
T02,11-Aug-94,T1,3,HAB3,18
T02,11-Aug-94,T1,4,HAB1,7
T02,11-Aug-94,T1,4,HAB2,42
T02,11-Aug-94,T1,5,HAB1,7
T02,11-Aug-94,T1,5,HAB2,42
T02,11-Aug-94,T2,6,HAB1,7
T02,11-Aug-94,T2,6,HAB2,36
T02,11-Aug-94,T2,6,HAB3,37
T02,11-Aug-94,T2,7,HAB1,7
T02,11-Aug-94,T2,7,HAB2,36
T02,11-Aug-94,T2,7,HAB3,37
T02,11-Aug-94,T2,8,HAB1,6
T02,11-Aug-94,T2,8,HAB2,8
T02,11-Aug-94,T2,8,HAB3,17
T02,11-Aug-94,T2,9,HAB1,7
T02,11-Aug-94,T2,9,HAB2,8
T02,11-Aug-94,T2,9,HAB3,19
T02,11-Aug-94,T2,10,HAB1,6
T02,11-Aug-94,T2,10,HAB2,8
T02,11-Aug-94,T2,10,HAB3,16
T02,11-Aug-94,T2,11,HAB1,6
T02,11-Aug-94,T2,11,HAB2,16
T02,11-Aug-94,T2,11,HAB3,8
T02,11-Aug-94,T2,12,HAB1,6
T02,11-Aug-94,T2,12,HAB2,16
T02,11-Aug-94,T2,12,HAB3,19
T02,11-Aug-94,T2,13,HAB1,6
T02,11-Aug-94,T2,13,HAB2,9
T02,11-Aug-94,T2,13,HAB3,23
T02,11-Aug-94,T2,14,HAB1,6
T02,11-Aug-94,T2,14,HAB2,9
T02,11-Aug-94,T2,14,HAB3,35
T02,11-Aug-94,T2,15,HAB1,6
T02,11-Aug-94,T2,15,HAB2,16
T02,11-Aug-94,T2,15,HAB3,19
T02,11-Aug-94,T2,16,HAB1,6
T02,11-Aug-94,T2,16,HAB2,35
T02,11-Aug-94,T2,16,HAB3,9
T02,11-Aug-94,T2,17,HAB1,35
T02,11-Aug-94,T2,17,HAB2,9
T02,11-Aug-94,T2,18,HAB1,35
T02,11-Aug-94,T2,18,HAB2,9
T02,11-Aug-94,T3,19,HAB1,7
T02,11-Aug-94,T3,19,HAB2,37
T02,11-Aug-94,T3,20,HAB1,7
T02,11-Aug-94,T3,20,HAB2,17
T02,11-Aug-94,T3,20,HAB3,37
T02,11-Aug-94,T3,21,HAB1,7
T02,11-Aug-94,T3,21,HAB2,17
T02,11-Aug-94,T3,21,HAB3,37
T02,11-Aug-94,T3,22,HAB1,7
T02,11-Aug-94,T3,22,HAB2,15
T02,11-Aug-94,T3,22,HAB3,37
T02,11-Aug-94,T3,23,HAB1,7
T02,11-Aug-94,T3,23,HAB2,15
T02,11-Aug-94,T3,23,HAB3,37
T02,11-Aug-94,T3,24,HAB1,7
T02,11-Aug-94,T3,24,HAB2,19
T02,11-Aug-94,T3,24,HAB3,4
T02,11-Aug-94,T3,25,HAB1,7
T02,11-Aug-94,T3,25,HAB2,31
T02,11-Aug-94,T3,25,HAB3,23
T02,11-Aug-94,T3,26,HAB1,7
T02,11-Aug-94,T3,26,HAB2,31
T02,11-Aug-94,T3,26,HAB3,23
T02,11-Aug-94,T3,27,HAB1,7
T02,11-Aug-94,T3,27,HAB2,31
T02,11-Aug-94,T3,27,HAB3,23
T02,11-Aug-94,T3,28,HAB1,7
T02,11-Aug-94,T3,28,HAB2,31
T02,11-Aug-94,T3,28,HAB3,23
T02,11-Aug-94,T3,29,HAB1,7
T02,11-Aug-94,T3,29,HAB2,31
T02,11-Aug-94,T3,29,HAB3,23
T02,11-Aug-94,T3,30,HAB1,7
T02,11-Aug-94,T3,30,HAB2,31
T02,11-Aug-94,T3,30,HAB3,23
T02,11-Aug-94,T3,31,HAB1,7
T02,11-Aug-94,T3,31,HAB2,31
T02,11-Aug-94,T3,31,HAB3,23
T02,11-Aug-94,T3,32,HAB1,7
T02,11-Aug-94,T3,32,HAB2,31
T02,11-Aug-94,T3,32,HAB3,23
T02,11-Aug-94,T3,33,HAB1,7
T02,11-Aug-94,T3,33,HAB2,31
T02,11-Aug-94,T3,33,HAB3,23
T02,11-Aug-94,T3,34,HAB1,7
T02,11-Aug-94,T3,34,HAB2,31
T02,11-Aug-94,T3,34,HAB3,23
T02,11-Aug-94,T3,35,HAB1,7
T02,11-Aug-94,T3,35,HAB2,13
T02,11-Aug-94,T3,35,HAB3,23
T02,11-Aug-94,T3,36,HAB1,7
