SITECODE,LCODE,VISIT,YEAR,TRANSECT,FIRSTHL1,FIRSTHL2,FIRSTHL3A,FIRSTHL3B,FIRSTHL4A,FIRSTHL4B,SECONDHL1,SECONDHL2,SECONDHL3A,SECONDHL3B,SECONDHL4A,SECONDHL4B
T05,01,H,1997,5,E,1,1,,3,,C,6,1,,1,
T05,01,H,1997,6,E,1,1,,3,,,,,,,
T05,01,H,1997,7,E,4,1,,12,,,,,,,
T05,01,H,1997,8,E,1,1,,3,,B,4,1,8,2,5
T05,01,H,1997,9,E,1,1,,3,,,,,,,
T05,01,H,1997,10,E,1,1,,3,,A,1,1,8,2,5
T06,01,H,1997,1,E,4,1,,7,,,,,,,
T06,01,H,1997,2,E,4,1,,7,,,,,,,
T06,01,H,1997,3,E,4,1,,7,,B,1,3,8,2,5
T06,01,H,1997,4,A,1,4,7,2,9,B,1,3,8,2,5
T06,01,H,1997,5,A,1,4,7,2,9,E,2,1,,4,
T06,01,H,1997,6,A,1,4,7,2,9,E,4,1,,7,
T06,01,H,1997,7,E,4,,,8,,E,4,3,,11,
T06,01,H,1997,8,E,4,2,6,7,,E,1,,,2,
T06,01,H,1997,9,E,4,,,7,,,,,,,
T06,01,H,1997,10,E,4,1,2,7,,,,,,,
T01,01,H,1997,1,E,3,2,,7,3,,,,,,
T01,01,H,1997,2,E,3,2,,7,3,,,,,,
T01,01,H,1997,3,E,3,6,,,,E,3,1,2,3,10
T01,01,H,1997,4,E,4,1,,7,11,,,,,,
T01,01,H,1997,5,E,3,2,,7,,B,5,1,,2,9
T01,01,H,1997,6,E,3,1,,3,7,,,,,,
T01,01,H,1997,7,E,3,1,,3,7,,,,,,
T01,01,H,1997,8,E,1,1,6,3,,E,4,1,,7,
T01,01,H,1997,9,E,3,1,,3,7,,,,,,
T05,01,H,1997,2,E,1,1,,3,,A,1,1,8,2,5
T09,01,H,1998,8,A,1,,4,,2,A,1,,4,,2
T09,01,H,1998,9,A,1,,4,,2,A,1,,4,,2
T09,01,H,1998,10,A,1,,4,,2,A,1,,4,,2
T05,01,H,1998,1,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,1998,2,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,1998,3,E,1,1,,3,,G,7,1,,2,10
T05,01,H,1998,4,E,1,1,,3,,C,6,1,,1,
T05,01,H,1998,5,E,1,1,,3,,C,6,1,,1,
T05,01,H,1998,6,E,1,1,,3,,,,,,,
T05,01,H,1998,7,E,1,1,,3,,,,,,,
T05,01,H,1998,8,E,1,1,,3,,B,4,1,8,2,5
T05,01,H,1998,9,E,1,1,,3,,,,,,,
T05,01,H,1998,10,E,1,1,,3,,A,1,1,8,2,5
T09,01,H,1998,1,A,1,,4,,2,A,1,,4,,3
T09,01,H,1998,2,A,1,,4,,2,A,1,,4,,3
T09,01,H,1998,3,A,1,,4,,2,A,1,,4,,3
T09,01,H,1998,4,A,1,,4,,3,A,1,,4,,3
T09,01,H,1998,5,A,1,,4,,2,A,1,,4,,3
T09,01,H,1998,6,A,1,,4,,2,A,1,,4,,2
T09,01,H,1998,7,A,1,,4,,2,A,1,,4,,2
T01,01,H,1998,1,E,3,2,,7,3,,,,,,
T01,01,H,1998,2,E,3,2,,7,3,,,,,,
T01,01,H,1998,3,E,3,6,,,,,,,,,
T01,01,H,1998,4,E,4,4,,7,,E,3,6,,,
T01,01,H,1998,5,E,3,2,,7,,B,5,1,,2,9
T01,01,H,1998,6,E,3,1,,7,,E,1,1,,3,
T01,01,H,1998,7,E,3,1,,3,,E,3,1,,7,
T01,01,H,1998,8,E,1,1,6,3,,E,4,1,,7,
T01,01,H,1998,9,E,3,1,,3,7,,,,,,
T01,01,H,1998,10,E,3,1,4,3,,,,,,,
T09,01,H,1999,1,A,1,,4,,3,,,,,,
T01,01,H,1999,10,E,1,1,,3,,E,6,1,,10,
T09,01,H,1999,3,A,1,,4,,3,,,,,,
T09,01,H,1999,4,A,1,,4,,3,,,,,,
T09,01,H,1999,5,A,1,,4,2,3,,,,,,
T09,01,H,1999,6,A,1,,4,,2,,,,,,
T09,01,H,1999,7,A,1,,4,,2,,,,,,
T09,01,H,1999,8,A,1,,4,,2,,,,,,
T09,01,H,1999,9,A,1,,4,,2,,,,,,
T09,01,H,1999,10,A,1,,4,,2,,,,,,
T05,01,H,1999,1,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,1999,2,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,1999,3,E,1,1,,3,,G,7,1,,2,10
T05,01,H,1999,4,E,1,1,,3,,C,6,1,,1,
T05,01,H,1999,5,E,1,1,,3,,C,6,1,,1,
T05,01,H,1999,6,E,1,1,,3,,,,,,,
T05,01,H,1999,7,E,1,1,,3,,,,,,,
T05,01,H,1999,8,E,1,1,,3,,B,4,1,8,2,5
T05,01,H,1999,9,E,1,1,,3,,,,,,,
T05,01,H,1999,10,E,1,1,,3,,A,1,1,8,2,5
T06,01,H,1999,1,E,4,1,,7,,,,,,,
T06,01,H,1999,2,E,4,1,,7,,,,,,,
T06,01,H,1999,3,E,4,1,,7,,B,1,3,8,2,5
T06,01,H,1999,4,A,1,4,7,2,9,B,1,3,8,2,5
T06,01,H,1999,5,A,1,4,7,2,9,E,2,1,,4,
T06,01,H,1999,6,A,1,4,7,2,9,E,4,1,,7,
T06,01,H,1999,7,E,4,,,8,,E,4,3,,11,
T06,01,H,1999,8,E,4,2,6,7,,E,1,,,2,
T06,01,H,1999,9,E,4,,,7,,,,,,,
T06,01,H,1999,10,E,4,1,2,7,,,,,,,
T01,01,H,1999,1,E,3,2,,15,3,,,,,,
T01,01,H,1999,2,E,3,2,,15,3,,,,,,
T01,01,H,1999,3,E,3,6,,,,E,3,1,2,3,7
T01,01,H,1999,4,E,4,4,,7,,E,6,6,,,
T01,01,H,1999,5,E,3,2,,7,,B,5,1,,2,9
T01,01,H,1999,6,E,4,1,,7,,E,6,1,,10,
T01,01,H,1999,7,E,4,1,,7,,,,,,,
T01,01,H,1999,8,E,1,1,6,3,,E,4,1,,7,
T01,01,H,1999,9,E,1,1,,3,,E,4,1,,7,
T09,01,H,1999,2,A,1,,4,,3,,,,,,
T01,01,H,2000,1,E,1,2,,,,,,,,,
T01,01,H,2000,2,E,1,2,,,,,,,,,
T01,01,H,2000,3,E,3,6,,,,E,3,1,2,3,7
T01,01,H,2000,4,E,4,4,,10,,E,6,6,,,
T01,01,H,2000,5,E,4,2,,10,,B,5,1,,1,9
T01,01,H,2000,6,E,4,1,,10,,,,,,,
T01,01,H,2000,7,E,4,1,,10,,,,,,,
T01,01,H,2000,8,E,1,1,6,3,,E,4,1,,7,
T01,01,H,2000,9,E,1,1,,3,,E,4,1,,7,
T01,01,H,2000,10,E,1,1,,3,,E,6,1,,10,
T05,01,H,2000,1,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,2000,2,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,2000,3,E,1,1,,3,,G,7,1,,2,10
T05,01,H,2000,4,E,1,1,,3,,C,6,1,,1,
T05,01,H,2000,5,E,1,1,,3,,C,6,1,,1,
T05,01,H,2000,6,E,1,1,,3,,,,,,,
T05,01,H,2000,7,E,1,1,,3,,,,,,,
T05,01,H,2000,8,E,1,1,,3,,B,4,1,8,2,5
T05,01,H,2000,9,E,1,1,,3,,,,,,,
T05,01,H,2000,10,E,1,1,,3,,A,1,1,8,2,5
T06,01,H,2000,1,E,4,1,,7,,,,,,,
T06,01,H,2000,2,E,4,1,,7,,,,,,,
T06,01,H,2000,3,E,4,1,,7,,B,1,3,8,2,5
T06,01,H,2000,4,A,1,4,7,2,9,B,1,3,8,2,5
T06,01,H,2000,5,A,1,4,7,2,9,E,2,1,,4,
T06,01,H,2000,6,A,1,4,7,2,9,E,4,1,,7,
T06,01,H,2000,7,E,4,,,8,,E,4,3,,11,
T06,01,H,2000,8,E,4,2,6,7,,E,1,,,2,
T06,01,H,2000,9,E,4,,,7,,,,,,,
T06,01,H,2000,10,E,4,1,2,7,,,,,,,
T09,01,H,2000,1,A,1,,4,,3,,,,,,
T09,01,H,2000,2,A,1,,4,,3,,,,,,
T09,01,H,2000,3,A,1,,4,,3,,,,,,
T09,01,H,2000,4,A,1,,4,,3,,,,,,
T09,01,H,2000,5,A,1,,4,2,3,,,,,,
T09,01,H,2000,6,A,1,,4,,2,,,,,,
T09,01,H,2000,7,A,1,,4,,2,,,,,,
T09,01,H,2000,8,A,1,,4,,2,,,,,,
T09,01,H,2000,9,A,1,,4,,2,,,,,,
T09,01,H,2000,10,A,1,,4,,2,,,,,,
T06,01,H,2001,1,E,4,1,,7,,,,,,,
T10,02,H,2001,10,C,1,9,,1,,E,2,4,,3,
T06,01,H,2001,3,E,4,1,,7,,B,1,3,8,2,5
T06,01,H,2001,4,A,1,4,7,2,9,B,1,3,8,2,5
T06,01,H,2001,5,A,1,4,7,2,9,E,2,1,,4,
T06,01,H,2001,6,A,1,4,7,2,9,E,4,1,,7,
T06,01,H,2001,7,E,4,,,8,,E,4,3,,11,
T06,01,H,2001,8,E,4,2,6,7,,E,1,,,2,
T06,01,H,2001,9,E,4,,,7,,,,,,,
T06,01,H,2001,10,E,4,1,2,7,,,,,,,
T09,01,H,2001,1,A,1,,4,,3,,,,,,
T09,01,H,2001,2,A,1,,4,,3,,,,,,
T09,01,H,2001,3,A,1,,4,,3,,,,,,
T09,01,H,2001,4,A,1,,4,,6,,,,,,
T09,01,H,2001,5,A,1,,4,,6,,,,,,
T09,01,H,2001,6,A,1,,4,,2,,,,,,
T09,01,H,2001,7,A,1,,4,,2,,,,,,
T09,01,H,2001,8,A,1,,4,,2,,,,,,
T09,01,H,2001,9,A,1,,4,,2,,,,,,
T09,01,H,2001,10,A,1,,4,,2,,,,,,
T10,01,H,2001,1,C,1,9,,1,,,,,,,
T10,01,H,2001,2,C,1,9,,1,,,,,,,
T10,01,H,2001,3,C,1,9,,1,,,,,,,
T10,01,H,2001,4,C,1,9,,1,,,,,,,
T10,01,H,2001,5,C,1,9,,1,,A,3,4,8,2,5
T10,01,H,2001,6,A,1,4,5,3,5,,,,,,
T10,01,H,2001,7,C,1,9,,1,,,,,,,
T10,01,H,2001,8,C,1,9,,1,,,,,,,
T10,01,H,2001,9,B,2,3,8,3,7,,,,,,
T10,01,H,2001,10,C,1,9,,1,,,,,,,
T10,02,H,2001,1,C,1,9,,1,,,,,,,
T10,02,H,2001,2,C,1,9,,1,,,,,,,
T10,02,H,2001,3,C,1,9,,1,,F,3,1,,1,
T10,02,H,2001,4,C,1,9,,1,,,,,,,
T10,02,H,2001,5,C,1,9,,1,,B,2,1,8,2,7
T10,02,H,2001,6,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2001,7,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2001,8,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2001,9,B,2,1,8,2,4,E,2,4,,3,
T06,01,H,2001,2,E,4,1,,7,,,,,,,
T01,01,H,2002,1,E,1,2,,1,,E,4,2,,7,
T01,01,H,2002,2,E,1,2,,1,,E,4,2,,7,
T01,01,H,2002,3,E,3,6,,,,E,3,1,2,1,7
T01,01,H,2002,4,E,4,4,,10,,E,6,6,,,
T01,01,H,2002,5,E,4,2,,10,,B,5,1,,1,9
T01,01,H,2002,6,E,4,1,,10,,,,,,,
T01,01,H,2002,7,E,4,1,,10,,,,,,,
T01,01,H,2002,8,E,1,1,6,1,,E,4,1,,10,
T01,01,H,2002,9,E,1,1,,1,,E,4,1,,10,
T01,01,H,2002,10,E,1,1,,1,,E,4,1,,10,
T02,01,H,2002,1,D,1,6,1,3,6,,,,,,
T02,01,H,2002,2,D,3,5,11,3,6,,,,,,
T02,01,H,2002,3,D,3,5,11,3,6,,,,,,
T02,01,H,2002,4,D,1,6,1,3,6,,,,,,
T02,01,H,2002,5,D,1,6,1,3,6,D,2,1,4,3,6
T02,01,H,2002,6,C,5,6,7,3,5,D,1,5,11,3,5
T02,01,H,2002,7,D,1,1,5,3,5,C,5,4,7,3,5
T02,01,H,2002,8,D,3,5,7,3,5,G,6,1,,2,6
T02,01,H,2002,9,D,3,5,8,3,5,F,3,5,,,
T02,01,H,2002,10,C,3,7,9,3,8,D,3,5,8,3,6
T02,02,H,2002,1,D,1,2,6,3,6,D,2,4,5,3,6
T02,02,H,2002,2,D,2,2,6,3,6,,,,,,
T02,02,H,2002,3,D,2,2,6,3,6,D,1,5,11,3,6
T02,02,H,2002,4,D,1,2,6,3,6,C,5,,,3,6
T02,02,H,2002,5,D,1,2,5,3,6,,,,,,
T02,02,H,2002,6,D,3,7,,3,6,C,3,4,9,3,6
T02,02,H,2002,7,D,1,5,11,3,6,D,2,5,11,3,6
T02,02,H,2002,8,D,1,5,11,3,6,C,3,5,11,2,3
T02,02,H,2002,9,D,1,7,11,3,6,G,6,,,2,6
T02,02,H,2002,10,D,1,5,11,2,3,D,3,5,11,2,6
T02,03,H,2002,1,D,3,7,8,3,5,G,6,1,,2,6
T02,03,H,2002,2,D,1,6,7,3,6,,,,,,
T02,03,H,2002,3,D,1,1,6,5,3,C,5,4,7,3,5
T02,03,H,2002,4,D,1,1,5,3,5,,,,,,
T02,03,H,2002,5,D,1,5,7,3,5,,,,,,
T02,03,H,2002,6,C,3,4,9,3,8,G,6,1,,2,6
T02,03,H,2002,7,D,1,1,6,3,5,D,1,6,7,3,5
T02,03,H,2002,8,D,1,1,7,3,5,,,,,,
T02,03,H,2002,9,D,1,5,7,3,5,,,,,,
T02,03,H,2002,10,D,1,5,7,3,5,C,5,3,7,3,8
T05,01,H,2002,1,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,2002,2,E,1,1,,3,,A,1,1,8,2,5
T05,01,H,2002,3,E,1,1,,3,,9,7,1,,2,10
T05,01,H,2002,4,E,1,1,,3,,C,6,1,,1,
T05,01,H,2002,5,E,1,1,,3,,C,6,1,,1,
T05,01,H,2002,6,E,1,1,,3,,,,,,,
T05,01,H,2002,7,E,1,1,,3,,,,,,,
T05,01,H,2002,8,E,1,1,,3,,B,4,1,8,2,5
T05,01,H,2002,9,E,1,1,,3,,,,,,,
T05,01,H,2002,10,E,1,1,,3,,A,1,1,8,2,5
T07,01,H,2002,1,B,5,3,8,2,8,E,1,3,4,5,
T07,01,H,2002,2,E,1,4,,5,,C,5,3,9,3,2
T07,01,H,2002,3,C,5,6,9,3,2,,,,,,
T07,01,H,2002,4,C,5,4,9,3,2,E,1,4,,2,
T07,01,H,2002,5,C,5,6,9,3,2,,,,,,
T07,01,H,2002,6,E,1,4,,3,,E,2,4,,5,
T07,01,H,2002,7,E,2,4,,5,,D,6,3,11,7,
T07,01,H,2002,8,E,2,3,,5,,A,2,4,8,6,9
T07,01,H,2002,9,D,6,3,11,7,,C,5,6,9,7,
T07,01,H,2002,10,A,2,4,8,6,9,D,6,3,11,7,
T07,02,H,2002,1,C,2,6,9,3,2,,,,,,
T07,02,H,2002,2,C,5,4,9,3,2,,,,,,
T07,02,H,2002,3,E,1,4,,3,,G,6,1,,5,10
T07,02,H,2002,4,E,1,4,,3,,,,,,,
T07,02,H,2002,5,E,1,4,,3,,,,,,,
T07,02,H,2002,6,C,2,6,9,3,, ,,,,,
T07,02,H,2002,7,D,4,3,11,3,,G,6,1,,6,10
T07,02,H,2002,8,E,1,4,,3,,F,3,1,7,1,
T07,02,H,2002,9,E,1,4,,3,,,,,,,
T07,02,H,2002,10,E,1,4,,3,,,,,,,
T07,03,H,2002,1,C,5,4,9,3,2,,,,,,
T07,03,H,2002,2,C,2,6,9,3,,,,,,,
T07,03,H,2002,3,E,2,4,,3,,,,,,,
T07,03,H,2002,4,E,2,4,,3,,C,5,4,9,3,
T07,03,H,2002,5,C,5,4,9,3,,,,,,,
T07,03,H,2002,6,D,3,5,11,3,,C,5,4,9,3,
T07,03,H,2002,7,C,5,4,9,3,,E,1,4,,3,5
T07,03,H,2002,8,E,1,4,,3,5,C,5,4,9,3,
T07,03,H,2002,9,C,5,4,9,3,,C,5,4,9,3,2
T07,03,H,2002,10,C,5,4,9,3,2,,,,,,
T07,04,H,2002,1,C,2,6,9,3,,,,,,,
T07,04,H,2002,2,C,2,6,9,3,,G,6,1,,6,10
T07,04,H,2002,3,D,1,7,11,3,,,,,,,
T07,04,H,2002,4,D,1,7,11,3,,C,5,4,9,3,
T07,04,H,2002,5,D,2,5,11,3,,,,,,,
T07,04,H,2002,6,D,1,5,11,3,,,,,,,
T07,04,H,2002,7,D,1,5,11,3,,,,,,,
T07,04,H,2002,8,D,1,7,11,3,,,,,,,
T07,04,H,2002,9,D,2,5,11,3,,G,6,1,,6,10
T07,04,H,2002,10,D,2,5,11,3,,,,,,,
T09,01,H,2002,1,A,1,,4,,3,,,,,,
T09,01,H,2002,2,A,1,,4,,3,,,,,,
T09,01,H,2002,3,A,1,,4,,3,,,,,,
T09,01,H,2002,4,A,1,,4,,3,,,,,,
T09,01,H,2002,5,A,1,,4,2,3,,,,,,
T09,01,H,2002,6,A,1,,4,,2,,,,,,
T09,01,H,2002,7,A,1,,4,,2,,,,,,
T09,01,H,2002,8,A,1,,4,,2,,,,,,
T09,01,H,2002,9,A,1,,4,,2,,,,,,
T09,01,H,2002,10,A,1,,4,,2,,,,,,
T10,01,H,2002,1,C,1,9,,1,,,,,,,
T10,01,H,2002,2,C,1,9,,1,,,,,,,
T10,01,H,2002,3,C,1,9,,1,,,,,,,
T10,01,H,2002,4,C,1,9,,1,,,,,,,
T10,01,H,2002,5,C,1,9,,1,,A,3,4,8,2,5
T10,01,H,2002,6,A,1,4,5,3,5,,,,,,
T10,01,H,2002,7,C,1,9,,1,,,,,,,
T10,01,H,2002,8,C,1,9,,1,,,,,,,
T10,01,H,2002,9,B,2,3,8,3,7,,,,,,
T10,01,H,2002,10,C,1,9,,1,,,,,,,
T10,02,H,2002,1,C,1,9,,1,,,,,,,
T10,02,H,2002,2,C,1,9,,1,,,,,,,
T10,02,H,2002,3,C,1,9,,1,,F,3,1,,1,
T10,02,H,2002,4,C,1,9,,1,,,,,,,
T10,02,H,2002,5,C,1,9,,1,,B,2,1,8,2,7
T10,02,H,2002,6,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2002,7,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2002,8,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2002,9,B,2,1,8,2,4,E,2,4,,3,
T10,02,H,2002,10,C,1,9,,1,,E,2,4,,3,
T12,01,H,2002,1,A,2,1,0,2,10,,,,,,
T12,01,H,2002,2,A,2,1,0,2,10,,,,,,
T12,01,H,2002,3,D,3,5,0,5,6,,,,,,
T12,01,H,2002,4,D,3,5,0,5,6,,,,,,
T12,01,H,2002,5,D,2,0,0,5,6,,,,,,
T12,01,H,2002,6,D,2,0,0,5,6,,,,,,
T12,01,H,2002,7,D,3,5,0,5,6,,,,,,
T12,01,H,2002,8,A,2,1,0,5,9,,,,,,
T12,01,H,2002,9,A,2,1,0,2,9,,,,,,
T12,01,H,2002,10,D,1,6,0,6,10,,,,,,
T10,02,H,2003,5,C,1,9,,1,,B,2,1,8,2,7
T10,02,H,2003,6,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2003,7,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2003,8,B,2,1,8,2,3,E,2,4,,3,
T10,02,H,2003,9,B,2,1,8,2,4,E,2,4,,3,
T10,02,H,2003,10,C,1,9,,1,,E,2,4,,3,
T01,01,H,2003,1,E,1,2,,1,,E,4,2,,7,
T01,01,H,2003,2,E,1,2,,1,,E,4,2,,7,
T01,01,H,2003,3,E,3,6,,,,E,3,1,2,1,7
T01,01,H,2003,4,E,4,4,,10,,E,6,6,,,
T01,01,H,2003,5,E,4,2,,10,,B,5,1,,1,9
T01,01,H,2003,6,E,4,1,,10,,,,,,,
T01,01,H,2003,7,E,4,1,,10,,,,,,,
T01,01,H,2003,8,E,1,1,6,1,,E,4,1,,10,
T01,01,H,2003,9,E,1,1,,1,,E,4,1,,10,
T01,01,H,2003,10,E,1,1,,1,,E,4,1,,10,
T02,01,H,2003,1,D,1,6,1,3,6,,,,,,
T02,01,H,2003,2,D,3,5,11,3,6,,,,,,
T02,01,H,2003,3,D,3,5,11,3,6,,,,,,
T02,01,H,2003,4,D,1,6,1,3,6,,,,,,
T02,01,H,2003,5,D,1,6,1,3,6,D,2,1,4,3,6
T02,01,H,2003,6,C,5,6,7,3,5,D,1,5,11,3,5
T02,01,H,2003,7,D,1,1,5,3,5,C,5,4,7,3,5
T02,01,H,2003,8,D,3,5,7,3,5,G,6,1,,2,6
T02,01,H,2003,9,D,3,5,8,3,5,F,3,5,,,
T02,01,H,2003,10,C,3,7,9,3,8,D,3,5,8,3,6
T02,02,H,2003,1,D,1,2,6,3,6,D,2,4,5,3,6
T02,02,H,2003,2,D,2,2,6,3,6,,,,,,
T02,02,H,2003,3,D,2,2,6,3,6,D,1,5,11,3,6
T02,02,H,2003,4,D,1,2,6,3,6,C,5,,,3,6
T02,02,H,2003,5,D,1,2,5,3,6,,,,,,
T02,02,H,2003,6,D,3,7,,3,6,C,3,4,9,3,6
T02,02,H,2003,7,D,1,5,11,3,6,D,2,5,11,3,6
T02,02,H,2003,8,D,1,5,11,3,6,C,3,5,11,2,3
T02,02,H,2003,9,D,1,7,11,3,6,G,6,,,2,6
T02,02,H,2003,10,D,1,5,11,2,3,D,3,5,11,2,6
T02,03,H,2003,1,D,3,7,8,3,5,G,6,1,,2,6
T02,03,H,2003,2,D,1,6,7,3,6,,,,,,
T02,03,H,2003,3,D,1,1,6,5,3,C,5,4,7,3,5
T02,03,H,2003,4,D,1,1,5,3,5,,,,,,
T02,03,H,2003,5,D,1,5,7,3,5,,,,,,
T02,03,H,2003,6,C,3,4,9,3,8,G,6,1,,2,6
T02,03,H,2003,7,D,1,1,6,3,5,D,1,6,7,3,5
T02,03,H,2003,8,D,1,1,7,3,5,,,,,,
T02,03,H,2003,9,D,1,5,7,3,5,,,,,,
T02,03,H,2003,10,D,1,5,7,3,5,C,5,3,7,3,8
T09,01,H,2003,1,A,1,,4,,3,,,,,,
T09,01,H,2003,2,A,1,,4,,3,,,,,,
T09,01,H,2003,3,A,1,,4,,3,,,,,,
T09,01,H,2003,4,A,1,,4,,3,,,,,,
T09,01,H,2003,5,A,1,,4,2,3,,,,,,
T09,01,H,2003,6,A,1,,4,,2,,,,,,
T09,01,H,2003,7,A,1,,4,,2,,,,,,
T09,01,H,2003,8,A,1,,4,,2,,,,,,
T09,01,H,2003,9,A,1,,4,,2,,,,,,
T09,01,H,2003,10,A,1,,4,,2,,,,,,
T10,01,H,2003,1,C,1,9,,1,,,,,,,
T10,01,H,2003,2,C,1,9,,1,,,,,,,
T10,01,H,2003,3,C,1,9,,1,,,,,,,
T10,01,H,2003,4,C,1,9,,1,,,,,,,
T10,01,H,2003,5,C,1,9,,1,,A,3,4,8,2,5
T10,01,H,2003,6,A,1,4,5,3,5,,,,,,
T10,01,H,2003,7,C,1,9,,1,,,,,,,
T10,01,H,2003,8,C,1,9,,1,,,,,,,
T10,01,H,2003,9,B,2,3,8,3,7,,,,,,
T10,01,H,2003,10,C,1,9,,1,,,,,,,
T10,02,H,2003,1,C,1,9,,1,,,,,,,
T10,02,H,2003,2,C,1,9,,1,,,,,,,
T10,02,H,2003,3,C,1,9,,1,,F,3,1,,1,
T10,02,H,2003,4,C,1,9,,1,,,,,,,
T01,01,H,2004,1,E,1,2,,1,,E,4,2,,7,
T01,01,H,2004,2,E,1,2,,1,,E,4,2,,7,
T01,01,H,2004,3,E,3,6,,,,E,3,1,2,1,14
T01,01,H,2004,4,E,4,4,,10,,E,6,6,,,
T01,01,H,2004,5,E,4,2,,10,,B,5,1,,1,9
T01,01,H,2004,6,E,4,1,,10,,,,,,,
T01,01,H,2004,7,E,4,1,,10,,,,,,,
T01,01,H,2004,8,E,1,1,6,1,,E,4,1,,10,
T01,01,H,2004,9,E,1,1,,1,,E,4,1,,10,
T01,01,H,2004,10,E,1,1,,1,,E,4,1,,10,
T02,01,H,2004,1,D,1,6,1,3,6,,,,,,
T02,01,H,2004,2,D,3,5,11,3,6,,,,,,
T02,01,H,2004,3,D,3,5,11,3,6,,,,,,
T02,01,H,2004,4,D,1,6,1,3,6,,,,,,
T02,01,H,2004,5,D,1,6,1,3,6,D,2,1,4,3,6
T02,01,H,2004,6,C,5,6,7,3,5,D,1,5,11,3,5
T02,01,H,2004,7,D,1,1,5,3,5,C,5,4,7,3,5
T02,01,H,2004,8,D,3,5,7,3,5,G,6,1,,2,6
T02,01,H,2004,9,D,3,5,8,3,5,F,3,5,,,
T02,01,H,2004,10,C,3,7,9,3,8,D,3,5,8,3,6
