SITECODE,AWSNO,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,CONTINUING,DESCRIPTION
T02,,,29-Jan-04,29-Jan-04,D,N,Snow covered surface wetness sensor and filled raingauge
T02,,,25-Feb-04,25-Feb-04,D,N,Snow covered surface wetness sensor and filled raingauge
T02,,,20-Apr-04,06-May-04,R,N,"Incorrect wind strength values, due to water penetration and corrosion at logger. These values were removed.  Re wired sensor at 08:00 on 6/5/04"
T02,,,02-Jun-04,02-Jun-04,D,N,08:30 - cleaned tipping bucket rain gauge and removed potential blockage.
T02,,,22-Sep-04,22-Sep-04,D,N,"Checked rain gauge tipping bucket and removed tips from record, checked volume with record to ensure correct calibration."
T02,,,10-Dec-04,10-Dec-04,D,N,"10:45 - changed logger battery as voltage was dropping, set time and reloaded logger program."
T02,,,18-Jan-05,20-Jan-05,R,N,Loss of data due to low battery power.
T02,,,21-Jan-05,25-Jan-05,R,N,Loss of data due to low battery power.
T02,,,26-Jan-05,26-Jan-05,D,N,Replaced battery
T02,,,26-Jan-05,26-Jan-05,D,N,Replaced silica gel packs in logger box
T02,,,09-Feb-05,09-Feb-05,D,N,"Replaced battery ( old battery voltage 11,2v) reloaded and compiled logger program."
T02,,,05-Feb-05,09-Feb-05,R,N,Loss of data due to low battery power.
T02,,,08-Jan-05,30-Mar-05,R,N,No rainfall readings recorded due to raingauge problems - small rodent damage and tipping errors.
T02,,,20-Apr-05,20-Apr-05,D,N,Replaced old raingauge cable and passed throgh reinforced hose to protect against rodent damage.
T02,,,15-Jun-05,15-Jun-05,D,N,"New second hand raingauge fitted at 11:00, checked tipping mechanism and volume for tipping was ok."
T02,,,29-May-05,15-Jun-05,R,N,"Raingauge partially blocked, unblocked."
T02,,,02-Sep-05,02-Sep-05,D,N,Checked raingauge tipping mechanism - all ok.
T02,,,28-Oct-05,28-Oct-05,D,N,Washed all sensors with soapy water.
T02,,,28-Oct-05,28-Oct-05,D,N,Replaced silica gel packs in logger box
T02,,,20-Dec-05,20-Dec-05,D,N,Replaced silica gel packs in logger box
T02,,,20-Dec-05,20-Dec-05,D,N,Replaced battery with fully charged battery
T02,,,20-Dec-05,21-Dec-05,R,N,"No data collected, slight blip when the logger program was compiled after a fully charged battery was connected.  Data was lost."
T02,,NETRAD,11-Jan-06,11-Jan-06,D,N,13:00 - hole in net radiometer dome - replaced dome and silica gel in column
T02,,,11-Jan-06,18-Jan-06,R,N,Loss of data due to low battery power.  18-Jan-2006 13:00 replaced battery with full powered battery and silica gel in logger.
T02,,,18-Jul-06,18-Jul-06,D,N,Checked raingauge and removed artificial tips of raingauge from dataset.
T02,,,27-Jul-06,27-Jul-06,D,N,Checked raingauge and removed artificial tips of raingauge from dataset.
T02,,,24-Oct-06,24-Oct-06,D,Y,"Theta probe known to be faulty, readings omitted from this date"
T02,,,22-Dec-06,22-Dec-06,D,N,Changed logger battery for fully charged one.  Washed all sensors with soapy water and installed new wet bulb wick.
T02,,,12-Jan-11,23-Feb-11,R,N,"New wind direction and relative humidity sensors on day 26 at 13:45.
New tipping gauge fitted on day 54 at 12:00."
T02,,,02-Aug-04,17-Aug-04,R,N,"Incoming global radiation values out of range on the following Julian days and times: day 214 at 13:00 and 14:00, day 209 at 13:00, day 207 at 10:00, day 200 at 16:00, day 198 at 13:00, day 220 at 12:00, day 227 at 13:00, day 228 at 13:00"
T02,,,15-Jun-05,15-Jun-05,D,N,"Tipping bucket, relative humidity probe, Pyranometer and NR Lite Net Radiometer were all replaced."
T02,,,23-Jun-05,23-Jun-05,D,N,"Logger replaced with calibrated unit, data missing for 0800, 0900 and 1000 on this date."
T02,,,30-Aug-08,31-Aug-08,R,N,30-aug-2008 21:00 to 31-aug-2008 16:00 - no data recorded
T02,,,22-Oct-08,22-Oct-08,D,N,"10:00; annual maintenance visit to AWS, rainfall, humidity, net radiometer, incoming and reflective radiation and windspeed sensors were changed."
T02,,,28-Oct-08,28-Oct-08,D,N,Maintenance visit for wind direction sensor.
T02,,ALBGRD,22-Oct-08,31-Dec-08,R,N,No reflected radiation value was recorded.
T02,,,07-Oct-09,07-Oct-09,D,N,"Annual maintenance visit, replaced the ARG100 tipping bucket and the relative humidity sensor. All other sensors were working ok and left."
T02,,,01-Jan-08,31-Dec-09,R,Y,Surface wetness data; values recorded are suspected to be incorrect.  The logger program has been checked and the sensor replaced but the values produced do not seem to correlate with the rainfall values.
T02,,,20-Oct-10,20-Oct-10,D,N,"Annual maintenance visit, replaced the ARG100 tipping bucket and all other sensors except wind direction sensor (replaced 26-Jan-2011)."
T02,,SURWET,01-Jan-10,31-Dec-10,R,N,Surface wetness data; values recorded are suspected to be incorrect.  The logger program has been checked and the sensor replaced but the values produced do not seem to correlate with the rainfall values.
T02,,,09-Feb-12,27-Dec-12,R,N,"9-Feb-2012 10:00  to 11:00; Net radiation values slightly out of range and removed.
30-Oct-2012 11:00; Net radiation value missing.  Annual service of AWS and cleaning of Rain Gauge. Sensors replaced: Relative Humidity, wind speed, wind direction, CMP6(Incoming radiation0, CMP3(Reflected Radiation) and NR lite sensor.
27-Dec-2012 19:00 and 20:00; Net radiation values slightly out of range and removed."
T02,,RAIN,02-Oct-13,11-Dec-13,R,N,2-Oct-2013 08:00 to 11-Dec-2013 09:00 - Rainfall data will be inaccurate (too low) as rain gauge tiping mechanism was not seated properly.
T02,,,15-Oct-14,15-Oct-14,D,N,"15-Oct-2014 13:00 to 15:00 - Service of AWS, no net radiation values.   All solar sensors, wind direction, wind speed and relative humidity sensors were removed and replaced with calibrated sensors."
T02,,,09-Jul-04,31-Dec-99,R,Y,AWS data from this station is sent direct to the Macaulay and is checked every 2 days for gross errors.  The AWS is checked every 3 - 4 weeks for signs of dammage.
T03,,,13-Oct-93,30-Apr-95,R,,Numerous gaps in dataset - AWS logger faulty
T03,,ALBGRD,13-Oct-93,30-Apr-95,R,,Albedo Ground calibration in error. Field set to null. Recorded values in D1XMA_HIL
T03,,WDIR,13-Oct-93,26-Oct-95,R,N,"Wind vane was wrongly oriented - only discovered in 1995. However, data (from 13-OCT-1993 to 26-OCT-1995,09:00 was back-corrected, and so should be reliable."
T03,,,07-Dec-00,22-Nov-01,R,Y,several gaps in data due to servicing
T03,,,01-Jan-06,31-Mar-06,R,N,CR10 datalogger replaced in early 2006 with a CR10X
T03,,,01-Jan-07,31-Dec-07,R,Y,"Albedometers giving negative readings during daytime, values removed when negative between 08:00 and 20:00.  AWS not serviced recently."
T03,,RAIN,27-Jun-08,27-Jun-08,D,N,Site concerned rainfall figure is inaccurate.  Guage tested by passing water through.
T03,,RAIN,16-Aug-09,17-Aug-08,R,N,"Sampler clogged, freed 17-Aug-2008 1700hrs, total rain for period 49.3."
T03,,,16-Dec-09,16-Dec-09,D,N,"AWS stopped functioning 16-Dec-2009, new array installed March 2010."
T03,,,12-Sep-12,31-Dec-99,R,Y,RH values set to 100 where >100 and no fault with instrumentation suspected
T04,AWS1,,24-Jul-91,24-Jul-91,D,,24-JUL-91 has only 20 hours of data. Reason unknown
T04,AWS1,,28-May-91,10-Feb-93,R,,Dataset recorded outwith ECN programme
T04,AWS1,,28-May-91,10-Feb-93,R,,"Data collected pre-ECN. No Soil Water, Surface Wetness, Albedo ground or Albedo sky sensors. Data not subject to ECN Quality Assurance procedures."
T04,AWS1,,10-Feb-93,23-Mar-93,R,,No records between 11.00 on 10-FEB-93 and 22.00 on 23-MAR-93 whilst new instruments fitted
T04,AWS1,SURWET,23-Mar-93,28-May-93,R,,Surface Wetness indicator not working from 23-MAR-93 until 11.00 28-MAY-93
T04,AWS1,SWATER,26-Mar-93,29-Jun-93,R,,Soil Water Potential Sensor not working (rabbit bit through cable) from 16.00 26-MAR-93 to 13.00 29-JUN-93
T04,AWS1,RAIN,28-May-91,02-Sep-93,R,N,Raingauge heater in use. This does not comply with ECN protocol - removed on 3-SEP-93
T04,AWS1,,28-May-91,03-Sep-93,R,,"Wind instruments at 2.5m - higher than ECN standard (2m). Also, 10cm soil temperature probe raised slightly so that the bare earth surface was level with the grass. Both re-positioned between 11.00 and 12.00 3-SEP-93."
T04,AWS1,RAIN,03-Sep-93,03-Sep-93,D,,Wind generator for rainguage heater removed for repair
T04,AWS1,RAIN,14-Oct-93,14-Oct-93,D,Y,Rainguage heater removed for repair
T04,AWS1,RAIN,14-Oct-93,14-Oct-93,D,,Rainguage moved to Plynlimon pit
T04,AWS1,NETRAD,30-Apr-94,30-Apr-94,D,N,Net radiometer dome replaced (tiny split)
T04,AWS1,SWATER,07-Jul-94,07-Jul-94,D,N,Gypsum block replaced
T04,AWS1,RAIN,08-Dec-93,03-Aug-94,R,Y,Rainfall figures set to null - raingauge malfunction
T04,AWS1,WETTMP,26-Oct-94,26-Oct-94,D,N,Wet bulb wick replaced
T04,AWS1,RAIN,26-Oct-94,26-Oct-94,D,N,Raingauge cleared of small amount soil
T04,AWS1,RAIN,14-Dec-94,18-Jan-95,R,N,Rainfall figures set to null. Gauge faulty becuase water in socket
T04,AWS1,SURWET,28-Sep-96,31-Dec-96,R,Y,Surface wetness indicator faulty - values set to null
T04,AWS1,SURWET,09-Jan-97,09-Jan-97,D,N,Snow cover on surface wetness indicator.
T04,AWS1,SURWET,29-Jan-97,05-Feb-97,R,N,Surface wetness indicator producing 'odd' data during period so values set to null and new indicator installed on 5-feb.
T04,AWS1,RAIN,19-Feb-97,19-Feb-97,D,N,Snow cover on rain gauge.
T04,AWS1,STMP10,19-Feb-97,19-Feb-97,D,N,Snow cover on soil temperature probe (10cm).
T04,AWS1,SURWET,19-Feb-97,19-Feb-97,D,N,Snow cover on surface wetness indicator.
T04,AWS1,NETRAD,02-Apr-97,09-Apr-97,R,N,Domes damaged on Net Radiometer (2/4). Repaired and replaced on 9/4.
T04,AWS1,,18-Jun-97,18-Jun-97,D,N,"UV-B sensor installed, along with new logger program."
T04,AWS1,STMP10,06-Aug-97,06-Aug-97,D,N,"10cm soil temperature probe dug up and relaid, 08:00 -09:00."
T04,AWS1,NETRAD,17-Sep-97,17-Sep-97,D,N,"Silica gel replaced in Net Radiometer, 11:00 - 12:00."
T04,AWS1,RAIN,01-Dec-97,01-Dec-97,D,Y,Raingauge not functioning - removed for repair
T04,AWS1,,16-Dec-97,14-Jan-98,R,N,Switched logger program to old version due to loading problem during maintenance. UV-B sensor not catered for with old program.
T04,AWS1,STMP10,04-Mar-98,04-Mar-98,D,N,Snow cover on 10cm soil temperature probe.
T04,AWS1,RAIN,01-Dec-97,04-Mar-98,R,N,Fault with raingauge. Values set to null.
T04,AWS1,SURWET,04-Mar-98,04-Mar-98,D,N,Snow cover on surface wetness indicator.
T04,,SWATER,01-Jul-00,31-Dec-00,R,N,Gypsum block data unreliable - July - Dec 2000 (gypsum block data will be removed prior to submission to CCU after December 2000)
T04,,SWATER,01-Jan-01,30-Jun-01,R,Y,"Gypsum block has been suffering gradual calibration drift and, with a
change in the ECN specification for soil moisture to be recorded by
Theta Probe, the Gypsum block will not be replaced and data from it will
no longer be submitted to the CCU. Data prior to this data may be useful
but it should be checked for evidence of calibration drift."
T04,,,01-Oct-01,31-Dec-01,R,N,"The net solarimeter was out of action from day 332, 1300 hours until day 339, 1200 hours. 
The wind vane and anemometer were frozen up from day 359, 500hours until day 360, 1100 hours."
T04,,,04-Jun-04,28-Jul-04,R,N,"AWS down, data lost"
T04,,,20-Jul-05,20-Jul-05,D,N,"Net radiometer replaced after being attacked by birds, numbers may not be directly compable"
T04,,,09-Nov-05,09-Nov-05,D,N,"10cm temp probe dug up to check depth, seemed ok"
T04,,,08-Mar-06,08-Mar-06,D,N,"11am to 12 noon a large block of ice was removed from the funnel as it was blocked with soil/ice, this will result in lower rainfall values for this week, ice block was discarded and not measured."
T04,,,18-Oct-06,22-Oct-06,R,N,Data lost in download process
T04,,WSPEED,26-Sep-06,11-Nov-06,R,N,"Anemometer taken back to CEH for checking, there was a mis-match with manual readings, manual was much higher."
T04,,,24-Oct-07,31-Oct-07,R,N,Data lost in download process
T04,,,06-Feb-08,06-Feb-08,D,N,"Rain gauge was blocked with snow and ice, this was melted and drained through at about 1200."
T04,,,02-Dec-09,03-Dec-09,R,N,Data from logger lost.
T04,,,01-Dec-09,31-Dec-09,R,N,"Snow towards the end of Dec may make the rainfall recorded unreliable, rain gauge covered by drift."
T04,,NETRAD,01-Jan-10,31-Jan-10,R,N,"AWS 2 - four net radiation readings greater than 100 noted, but no reason to suspect instrumentation generally."
T04,,SURWET,01-Jun-10,11-Aug-10,R,N,"Surface wetness from June to August suspect and removed, sensor overgrown - alternative data available from site from old array."
T04,,,01-Jan-11,16-Feb-11,R,Y,AWS was not operating due to snowfall covering the solar panel
T04,,,06-Jul-12,13-Jul-12,R,N,"Missing data between 6- and 13-Jul-2012 , new program loaded to try to fix wetness probe problem"
T04,,SURWET,08-May-13,08-May-13,D,N,"8-May-2013 09:00 new programme loaded to fix surface wetness probe, new probe fitted"
T04,,,09-Apr-13,24-Apr-15,R,N, 9- to 24-APR-2013 some data lost due to a service.
T04,AWS1,SURWET,28-May-93,31-Dec-99,R,Y,The surface wetness indicator may not be reliable.
T04,,,01-Oct-06,31-Dec-99,R,Y,Wet and dry temperature probes removed.  Because of the age of this equipment it could not be replaced.  Dry temps available for this period from the 'ROVER' AWS sited next to the main AWS.
T04,AWS1,RAIN,03-Sep-93,31-Dec-99,R,Y,Raingauge heater removed to comply with protocol. Rainfall readings may be unreliable where raingauge blocked by snow
T05,,,30-Jan-02,30-Jan-02,D,N,Tipping bucket rain gauge connector dried out and replaced 30-Jan-2002
T05,,,25-Jun-03,30-Jul-03,R,N,Rain bucket blocked at some time between 25 June and 30 July 2003
T05,,SWATER,01-Jan-95,31-Aug-03,R,N,"Values range from -1 to 1, then >1000, no information as to what the units are, the heading for the column read Ave AWP (bar)."
T05,,,01-Sep-03,01-Aug-04,R,N,AWS offline Sept 2003 to July 2004.
T05,,NETRAD,19-Dec-04,07-Mar-05,R,N,Net radiation values < -100 may be due to sensor becoming wet internally.
T05,,,22-Sep-04,02-Jun-05,R,N,Wet temperature readings are adjusted by -0.49 as sensor installed 22-Sep-2004 was not callibrated until 2-Jun-2005 11:00.
T05,,,02-Jun-05,02-Jun-05,D,N,"AWS checked by M Stroud, CEH Wallingford.  11:00 and 12:00 readings: some sensors offline during re-calibration, set to null.  Net radiation sensor removed and dried, silica gel replaced."
T05,,,03-Dec-05,04-Dec-05,R,N,Albedo sky and ground sensors removed along with net radiometer arm 3-December-2005 13:00 to 4-December-2005 17:00.
T05,,,18-Oct-05,09-Dec-05,R,N,"18-October-2005 16:00 net radiometer developed a fault, removed.  Replaced 9-December-2005 11:00 by Mike Stroud.  All sensors tested and some calibrated on 9-December-2005 - all sensors seemed to be o.k."
T05,,,14-Dec-06,14-Dec-06,D,N,Wet and dry sensors immersed in ice therefore values not accurate for 13:00.
T05,,,14-Dec-06,14-Dec-06,R,Y,"One of the wet or dry sensors producing values approximately 0.8 too high, to be recalibrated."
T05,,,01-Jan-07,31-Dec-07,R,N,AWS not calibrated in 2007.
T05,,,26-Oct-08,24-Mar-09,R,Y,"26-Oct-2008 22:00 to 24-Mar-2009 17:00  - Wet & dry temp sensors, soil 10cm & soil 30cm temp sensors considered suspect, with frequent failures causing data gaps.  AWS not calibrated, new array installed 24-Mar-2009."
T05,,,09-Nov-11,09-Nov-11,D,N,"9/11/2011 12:00 AWS serviced by Campbell Scientific, CR1000m  logger swapped, new 12v battery."
T05,,,17-Aug-12,26-Sep-12,R,N,17/08/2012 07:00 to 26/09/2012 08:00 - Wind & direction values are suspect (lots of zero values)
T05,,,14-Feb-14,13-Mar-14,R,Y,14/02/2014 20:00 to 22/02/2014 00:00 and 08/03/2014 02:00 to 13/03/2014 16:00 - noted fault with wind speed & direction.
